OBJECTID,Pole_id,Pole_co_type,Quantity,Note_
"26,506","2,033,606",3,1,
"26,507","2,033,607",1,1,
"26,508","2,033,608",3,1,
"26,509","2,033,609",1,1,
"26,510","2,033,610",3,1,
"26,511","2,033,611",2,1,
"26,512","2,033,612",2,1,
"26,513","2,033,613",2,1,
"26,514","2,033,614",2,1,
"26,515","2,033,615",2,1,
"26,516","2,033,616",1,1,
"26,517","2,033,617",1,1,
"26,518","2,033,618",2,1,
"26,519","2,033,619",2,1,
"26,520","2,033,620",1,1,
"26,521","2,033,621",3,1,
"26,522","2,033,622",1,1,
"26,523","2,033,624",2,1,
"26,524","2,033,625",1,1,
"26,525","2,033,626",1,1,
"26,526","2,033,627",1,1,
"26,527","2,033,628",2,1,
"26,528","2,033,629",1,1,
"26,529","2,033,630",1,1,
"26,530","2,033,631",1,1,
"26,531","2,033,632",3,1,
"26,532","2,033,633",2,1,
"26,533","2,033,634",1,1,
"26,534","2,033,635",3,1,
"26,535","2,033,637",3,1,
"26,536","2,033,638",2,1,
"26,537","2,033,639",2,1,
"26,538","2,033,640",2,1,
"26,539","2,033,644",1,1,
"26,540","2,033,646",1,1,
"26,541","2,033,648",1,1,
"26,542","2,033,649",1,1,
"26,543","2,033,650",1,1,
"26,544","2,033,651",1,1,
"26,545","2,033,652",1,1,
"26,546","2,033,653",2,1,
"26,547","2,033,654",1,1,
"26,548","2,033,655",1,1,
"26,549","2,033,659",1,1,
"26,550","2,033,660",1,1,
"26,551","2,033,661",1,1,
"26,552","2,033,662",1,1,
"26,553","2,033,663",1,1,
"26,554","2,033,664",1,1,
"26,555","2,033,666",1,1,
"26,556","2,033,675",1,1,
"26,557","2,033,677",2,1,
"26,558","2,033,672",1,1,
"26,559","2,033,674",1,1,
"26,560","2,033,679",3,1,
"26,561","2,033,680",3,1,
"26,562","2,033,682",1,1,
"26,563","2,033,682",2,1,
"26,564","2,033,683",1,1,
"26,565","2,033,684",2,1,
"26,566","2,033,685",2,1,
"26,567","2,033,686",1,2,
"26,568","2,033,687",1,1,
"26,569","2,033,688",1,2,
"26,570","2,033,689",2,1,
"26,571","2,033,690",2,1,
"26,572","2,033,691",1,3,
"26,573","2,033,692",1,1,
"26,574","2,033,693",1,2,
"26,575","2,033,694",1,2,
"26,576","2,033,695",1,1,
"26,577","2,033,699",1,1,
"26,578","2,033,700",1,2,
"26,579","2,033,701",2,2,
"26,580","2,033,696",1,1,
"26,581","2,033,697",1,1,
"26,582","2,033,698",1,1,
"26,583","2,033,702",1,1,
"26,584","2,033,704",1,2,
"26,585","2,033,706",1,1,
"26,586","2,033,711",1,1,
"26,587","2,033,713",2,1,
"26,588","2,033,714",1,1,
"26,589","2,033,716",1,1,
"26,590","2,033,717",2,1,
"26,591","2,033,715",1,1,
"26,592","2,033,719",1,1,
"26,593","2,033,721",2,1,
"26,594","2,033,725",1,1,
"26,595","2,033,726",1,1,
"26,596","2,033,727",1,1,
"26,597","2,033,735",1,1,
"26,598","2,033,729",1,1,
"26,599","2,033,730",1,1,
"26,600","2,033,731",1,1,
"26,601","2,033,733",1,1,
"26,602","2,033,734",1,1,
"26,603","2,033,739",1,1,
"26,604","2,033,739",2,1,
"26,605","2,033,740",1,1,
"26,606","2,033,741",1,1,
"26,607","2,033,742",1,1,
"26,608","2,033,743",1,1,
"26,609","2,033,744",1,1,
"26,610","2,033,748",1,1,
"26,611","2,033,749",1,1,
"26,612","2,033,751",1,1,
"26,613","2,033,753",1,1,
"26,614","2,033,755",1,2,
"26,615","2,033,756",1,2,
"26,616","2,033,757",1,1,
"26,617","2,033,758",2,1,
"26,618","2,033,765",1,1,
"26,619","2,033,766",1,1,
"26,620","2,033,767",1,1,
"26,621","2,033,768",1,1,
"26,622","2,033,769",2,1,
"26,623","2,033,773",1,1,
"26,624","2,033,774",1,1,
